INFO:p2p_network:[charlie] P2P Node initialized on 127.0.0.1:9003
INFO:full_node:[charlie] Blockchain initialized - Height: 0
INFO:full_node:[charlie] Restored 6 block(s) from disk - Height: 6
INFO:p2p_network:[charlie] P2P Server listening on 127.0.0.1:9003
INFO:__main__:Starting RPC server on 127.0.0.1:8003
INFO:wsgi_server:Serving with waitress on 127.0.0.1:8003 (threads=16)
INFO:waitress:Serving on http://127.0.0.1:8003
INFO:p2p_network:[charlie] Connected to peer: bob
INFO:p2p_network:[charlie] Connected to peer: alice at 127.0.0.1:9001
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 395
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 396
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 397
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 398
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 399
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 400
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 401
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 402
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 403
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 404
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 405
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 406
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 407
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 408
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 409
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 410
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 411
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 412
